,items_failed delivery
2023-06-11 00:00:00+00:00,1.3361344537815125
2023-06-18 00:00:00+00:00,1.5
2023-06-25 00:00:00+00:00,1.6603773584905661
2023-07-02 00:00:00+00:00,1.6136363636363635
2023-07-09 00:00:00+00:00,1.5247524752475248
2023-07-16 00:00:00+00:00,1.5128205128205128
2023-07-23 00:00:00+00:00,1.5116279069767442
2023-07-30 00:00:00+00:00,1.6048387096774193
2023-08-06 00:00:00+00:00,1.5803571428571428
2023-08-13 00:00:00+00:00,1.4545454545454546
2023-08-20 00:00:00+00:00,1.3875968992248062
2023-08-27 00:00:00+00:00,1.2884615384615385
2023-09-03 00:00:00+00:00,1.3636363636363635
2023-09-10 00:00:00+00:00,1.2328767123287672
2023-09-17 00:00:00+00:00,1.2619047619047619
2023-09-24 00:00:00+00:00,1.25
2023-10-01 00:00:00+00:00,1.2467532467532467
2023-10-08 00:00:00+00:00,1.4424778761061947
2023-10-15 00:00:00+00:00,1.4715447154471544
2023-10-22 00:00:00+00:00,1.3412698412698412
2023-10-29 00:00:00+00:00,1.4368932038834952
2023-11-05 00:00:00+00:00,1.7179487179487178
2023-11-12 00:00:00+00:00,1.7049180327868851
2023-11-19 00:00:00+00:00,1.6666666666666667
2023-11-26 00:00:00+00:00,1.7
2023-12-03 00:00:00+00:00,1.859375
2023-12-10 00:00:00+00:00,1.6901408450704225
2023-12-17 00:00:00+00:00,1.5454545454545454
2023-12-24 00:00:00+00:00,1.4126984126984128
2023-12-31 00:00:00+00:00,1.2560975609756098
2024-01-07 00:00:00+00:00,1.2465753424657535
2024-01-14 00:00:00+00:00,1.2619047619047619
2024-01-21 00:00:00+00:00,1.2735042735042734
2024-01-28 00:00:00+00:00,1.2788461538461537
2024-02-04 00:00:00+00:00,1.3026315789473684
2024-02-11 00:00:00+00:00,1.4
2024-02-18 00:00:00+00:00,1.4545454545454546
2024-02-25 00:00:00+00:00,1.3859649122807018
2024-03-03 00:00:00+00:00,1.78125
