,customers_products
2023-06-11 00:00:00+00:00,3.413793103448276
2023-06-18 00:00:00+00:00,3.3411764705882354
2023-06-25 00:00:00+00:00,4.189873417721519
2023-07-02 00:00:00+00:00,3.611764705882353
2023-07-09 00:00:00+00:00,3.4025974025974026
2023-07-16 00:00:00+00:00,3.8227848101265822
2023-07-23 00:00:00+00:00,3.7093023255813953
2023-07-30 00:00:00+00:00,3.3580246913580245
2023-08-06 00:00:00+00:00,3.5443037974683542
2023-08-13 00:00:00+00:00,3.6987951807228914
2023-08-20 00:00:00+00:00,3.642857142857143
2023-08-27 00:00:00+00:00,3.3411764705882354
2023-09-03 00:00:00+00:00,3.4074074074074074
2023-09-10 00:00:00+00:00,3.6551724137931036
2023-09-17 00:00:00+00:00,3.6785714285714284
2023-09-24 00:00:00+00:00,3.5764705882352943
2023-10-01 00:00:00+00:00,3.2857142857142856
2023-10-08 00:00:00+00:00,3.788235294117647
2023-10-15 00:00:00+00:00,3.5609756097560976
2023-10-22 00:00:00+00:00,3.441860465116279
2023-10-29 00:00:00+00:00,3.731707317073171
2023-11-05 00:00:00+00:00,3.5
2023-11-12 00:00:00+00:00,3.765432098765432
2023-11-19 00:00:00+00:00,3.4683544303797467
2023-11-26 00:00:00+00:00,3.0617283950617282
2023-12-03 00:00:00+00:00,3.5952380952380953
2023-12-10 00:00:00+00:00,3.345679012345679
2023-12-17 00:00:00+00:00,3.574712643678161
2023-12-24 00:00:00+00:00,3.597560975609756
2023-12-31 00:00:00+00:00,3.5609756097560976
2024-01-07 00:00:00+00:00,3.7560975609756095
2024-01-14 00:00:00+00:00,3.0238095238095237
2024-01-21 00:00:00+00:00,2.988095238095238
2024-01-28 00:00:00+00:00,2.9
2024-02-04 00:00:00+00:00,3.119047619047619
2024-02-11 00:00:00+00:00,3.0602409638554215
2024-02-18 00:00:00+00:00,2.988095238095238
2024-02-25 00:00:00+00:00,3.182926829268293
2024-03-03 00:00:00+00:00,3.2948717948717947
