,package delivered_items
2023-06-11 00:00:00+00:00,7.4
2023-06-18 00:00:00+00:00,6.3478260869565215
2023-06-25 00:00:00+00:00,7.1923076923076925
2023-07-02 00:00:00+00:00,6.608695652173913
2023-07-09 00:00:00+00:00,7.173913043478261
2023-07-16 00:00:00+00:00,7.0476190476190474
2023-07-23 00:00:00+00:00,6.695652173913044
2023-07-30 00:00:00+00:00,6.857142857142857
2023-08-06 00:00:00+00:00,6.933333333333334
2023-08-13 00:00:00+00:00,7.0
2023-08-20 00:00:00+00:00,7.333333333333333
2023-08-27 00:00:00+00:00,6.55
2023-09-03 00:00:00+00:00,6.28125
2023-09-10 00:00:00+00:00,6.896551724137931
2023-09-17 00:00:00+00:00,6.5
2023-09-24 00:00:00+00:00,7.130434782608695
2023-10-01 00:00:00+00:00,6.608695652173913
2023-10-08 00:00:00+00:00,7.6521739130434785
2023-10-15 00:00:00+00:00,6.761904761904762
2023-10-22 00:00:00+00:00,7.3478260869565215
2023-10-29 00:00:00+00:00,7.095238095238095
2023-11-05 00:00:00+00:00,6.909090909090909
2023-11-12 00:00:00+00:00,6.869565217391305
2023-11-19 00:00:00+00:00,6.666666666666667
2023-11-26 00:00:00+00:00,7.035714285714286
2023-12-03 00:00:00+00:00,6.1
2023-12-10 00:00:00+00:00,6.814814814814815
2023-12-17 00:00:00+00:00,6.444444444444445
2023-12-24 00:00:00+00:00,6.517241379310345
2023-12-31 00:00:00+00:00,7.0
2024-01-07 00:00:00+00:00,6.666666666666667
2024-01-14 00:00:00+00:00,7.043478260869565
2024-01-21 00:00:00+00:00,7.333333333333333
2024-01-28 00:00:00+00:00,5.590909090909091
2024-02-04 00:00:00+00:00,6.045454545454546
2024-02-11 00:00:00+00:00,6.9
2024-02-18 00:00:00+00:00,7.15
2024-02-25 00:00:00+00:00,6.714285714285714
2024-03-03 00:00:00+00:00,6.590909090909091
