,pay order_items
2023-06-11 00:00:00+00:00,3.6666666666666665
2023-06-18 00:00:00+00:00,4.057142857142857
2023-06-25 00:00:00+00:00,3.35
2023-07-02 00:00:00+00:00,4.2894736842105265
2023-07-09 00:00:00+00:00,3.903225806451613
2023-07-16 00:00:00+00:00,4.085714285714285
2023-07-23 00:00:00+00:00,4.081081081081081
2023-07-30 00:00:00+00:00,4.4375
2023-08-06 00:00:00+00:00,3.810810810810811
2023-08-13 00:00:00+00:00,4.142857142857143
2023-08-20 00:00:00+00:00,4.051282051282051
2023-08-27 00:00:00+00:00,4.159090909090909
2023-09-03 00:00:00+00:00,3.6
2023-09-10 00:00:00+00:00,3.5652173913043477
2023-09-17 00:00:00+00:00,3.7560975609756095
2023-09-24 00:00:00+00:00,4.285714285714286
2023-10-01 00:00:00+00:00,3.6153846153846154
2023-10-08 00:00:00+00:00,4.410256410256411
2023-10-15 00:00:00+00:00,3.9166666666666665
2023-10-22 00:00:00+00:00,3.9285714285714284
2023-10-29 00:00:00+00:00,3.4
2023-11-05 00:00:00+00:00,4.071428571428571
2023-11-12 00:00:00+00:00,3.8333333333333335
2023-11-19 00:00:00+00:00,3.717948717948718
2023-11-26 00:00:00+00:00,3.7560975609756095
2023-12-03 00:00:00+00:00,4.48
2023-12-10 00:00:00+00:00,3.6666666666666665
2023-12-17 00:00:00+00:00,3.4655172413793105
2023-12-24 00:00:00+00:00,4.151515151515151
2023-12-31 00:00:00+00:00,3.8421052631578947
2024-01-07 00:00:00+00:00,4.564102564102564
2024-01-14 00:00:00+00:00,3.4444444444444446
2024-01-21 00:00:00+00:00,3.5208333333333335
2024-01-28 00:00:00+00:00,3.25
2024-02-04 00:00:00+00:00,3.5
2024-02-11 00:00:00+00:00,3.5833333333333335
2024-02-18 00:00:00+00:00,3.111111111111111
2024-02-25 00:00:00+00:00,3.2857142857142856
2024-03-03 00:00:00+00:00,3.558139534883721
