,confirm order_items
2023-06-11 00:00:00+00:00,3.6363636363636362
2023-06-18 00:00:00+00:00,3.659090909090909
2023-06-25 00:00:00+00:00,4.564102564102564
2023-07-02 00:00:00+00:00,4.181818181818182
2023-07-09 00:00:00+00:00,3.6
2023-07-16 00:00:00+00:00,4.461538461538462
2023-07-23 00:00:00+00:00,4.113636363636363
2023-07-30 00:00:00+00:00,3.926829268292683
2023-08-06 00:00:00+00:00,3.8421052631578947
2023-08-13 00:00:00+00:00,3.9047619047619047
2023-08-20 00:00:00+00:00,3.975609756097561
2023-08-27 00:00:00+00:00,3.697674418604651
2023-09-03 00:00:00+00:00,3.525
2023-09-10 00:00:00+00:00,3.9347826086956523
2023-09-17 00:00:00+00:00,3.975609756097561
2023-09-24 00:00:00+00:00,4.088888888888889
2023-10-01 00:00:00+00:00,3.6944444444444446
2023-10-08 00:00:00+00:00,3.953488372093023
2023-10-15 00:00:00+00:00,4.097560975609756
2023-10-22 00:00:00+00:00,3.688888888888889
2023-10-29 00:00:00+00:00,3.926829268292683
2023-11-05 00:00:00+00:00,3.8205128205128207
2023-11-12 00:00:00+00:00,4.390243902439025
2023-11-19 00:00:00+00:00,3.6842105263157894
2023-11-26 00:00:00+00:00,3.325
2023-12-03 00:00:00+00:00,3.9069767441860463
2023-12-10 00:00:00+00:00,3.6153846153846154
2023-12-17 00:00:00+00:00,3.8043478260869565
2023-12-24 00:00:00+00:00,3.95
2023-12-31 00:00:00+00:00,3.8292682926829267
2024-01-07 00:00:00+00:00,4.414634146341464
2024-01-14 00:00:00+00:00,3.3902439024390243
2024-01-21 00:00:00+00:00,3.1818181818181817
2024-01-28 00:00:00+00:00,3.3076923076923075
2024-02-04 00:00:00+00:00,3.357142857142857
2024-02-11 00:00:00+00:00,3.357142857142857
2024-02-18 00:00:00+00:00,3.2093023255813953
2024-02-25 00:00:00+00:00,3.6097560975609757
2024-03-03 00:00:00+00:00,3.72972972972973
