,items_packages
2023-06-11 00:00:00+00:00,7.073529411764706
2023-06-18 00:00:00+00:00,5.987341772151899
2023-06-25 00:00:00+00:00,7.115384615384615
2023-07-02 00:00:00+00:00,7.1375
2023-07-09 00:00:00+00:00,6.506849315068493
2023-07-16 00:00:00+00:00,7.162162162162162
2023-07-23 00:00:00+00:00,6.9113924050632916
2023-07-30 00:00:00+00:00,6.642857142857143
2023-08-06 00:00:00+00:00,6.912280701754386
2023-08-13 00:00:00+00:00,6.876923076923077
2023-08-20 00:00:00+00:00,7.092105263157895
2023-08-27 00:00:00+00:00,6.333333333333333
2023-09-03 00:00:00+00:00,6.212765957446808
2023-09-10 00:00:00+00:00,6.934065934065934
2023-09-17 00:00:00+00:00,6.19
2023-09-24 00:00:00+00:00,7.135802469135802
2023-10-01 00:00:00+00:00,6.742424242424242
2023-10-08 00:00:00+00:00,7.850746268656716
2023-10-15 00:00:00+00:00,6.85
2023-10-22 00:00:00+00:00,7.202702702702703
2023-10-29 00:00:00+00:00,6.740259740259741
2023-11-05 00:00:00+00:00,7.101449275362318
2023-11-12 00:00:00+00:00,6.876712328767123
2023-11-19 00:00:00+00:00,6.635135135135135
2023-11-26 00:00:00+00:00,7.072289156626506
2023-12-03 00:00:00+00:00,6.085714285714285
2023-12-10 00:00:00+00:00,6.802469135802469
2023-12-17 00:00:00+00:00,6.641791044776119
2023-12-24 00:00:00+00:00,6.715909090909091
2023-12-31 00:00:00+00:00,6.706666666666667
2024-01-07 00:00:00+00:00,6.881578947368421
2024-01-14 00:00:00+00:00,6.902777777777778
2024-01-21 00:00:00+00:00,6.845070422535211
2024-01-28 00:00:00+00:00,6.094594594594595
2024-02-04 00:00:00+00:00,6.185714285714286
2024-02-11 00:00:00+00:00,6.71875
2024-02-18 00:00:00+00:00,7.0
2024-02-25 00:00:00+00:00,7.059701492537314
2024-03-03 00:00:00+00:00,6.4714285714285715
