,confirm order
2023-06-11 00:00:00+00:00,10.022727272727273
2023-06-18 00:00:00+00:00,9.977272727272727
2023-06-25 00:00:00+00:00,11.743589743589743
2023-07-02 00:00:00+00:00,10.909090909090908
2023-07-09 00:00:00+00:00,9.885714285714286
2023-07-16 00:00:00+00:00,11.307692307692308
2023-07-23 00:00:00+00:00,10.75
2023-07-30 00:00:00+00:00,10.439024390243903
2023-08-06 00:00:00+00:00,10.368421052631579
2023-08-13 00:00:00+00:00,10.571428571428571
2023-08-20 00:00:00+00:00,10.585365853658537
2023-08-27 00:00:00+00:00,10.186046511627907
2023-09-03 00:00:00+00:00,9.75
2023-09-10 00:00:00+00:00,10.565217391304348
2023-09-17 00:00:00+00:00,10.609756097560975
2023-09-24 00:00:00+00:00,10.8
2023-10-01 00:00:00+00:00,10.055555555555555
2023-10-08 00:00:00+00:00,10.55813953488372
2023-10-15 00:00:00+00:00,10.804878048780488
2023-10-22 00:00:00+00:00,10.155555555555555
2023-10-29 00:00:00+00:00,10.560975609756097
2023-11-05 00:00:00+00:00,10.256410256410257
2023-11-12 00:00:00+00:00,11.268292682926829
2023-11-19 00:00:00+00:00,10.052631578947368
2023-11-26 00:00:00+00:00,9.4
2023-12-03 00:00:00+00:00,10.511627906976743
2023-12-10 00:00:00+00:00,9.948717948717949
2023-12-17 00:00:00+00:00,10.347826086956522
2023-12-24 00:00:00+00:00,10.675
2023-12-31 00:00:00+00:00,10.24390243902439
2024-01-07 00:00:00+00:00,11.292682926829269
2024-01-14 00:00:00+00:00,9.439024390243903
2024-01-21 00:00:00+00:00,9.113636363636363
2024-01-28 00:00:00+00:00,9.282051282051283
2024-02-04 00:00:00+00:00,9.428571428571429
2024-02-11 00:00:00+00:00,9.452380952380953
2024-02-18 00:00:00+00:00,9.13953488372093
2024-02-25 00:00:00+00:00,9.853658536585366
2024-03-03 00:00:00+00:00,10.054054054054054
