,pay order
2023-06-11 00:00:00+00:00,125.220887345679
2023-06-18 00:00:00+00:00,135.3413492063492
2023-06-25 00:00:00+00:00,142.4016041666667
2023-07-02 00:00:00+00:00,132.45466374269006
2023-07-09 00:00:00+00:00,123.48281362007168
2023-07-16 00:00:00+00:00,170.16055555555556
2023-07-23 00:00:00+00:00,169.4454054054054
2023-07-30 00:00:00+00:00,192.64796296296296
2023-08-06 00:00:00+00:00,179.64964714714714
2023-08-13 00:00:00+00:00,189.85722883597884
2023-08-20 00:00:00+00:00,214.1812962962963
2023-08-27 00:00:00+00:00,204.02863636363637
2023-09-03 00:00:00+00:00,283.56557407407405
2023-09-10 00:00:00+00:00,226.3659460547504
2023-09-17 00:00:00+00:00,178.8081978319783
2023-09-24 00:00:00+00:00,150.9864947089947
2023-10-01 00:00:00+00:00,133.29698005698006
2023-10-08 00:00:00+00:00,103.326396011396
2023-10-15 00:00:00+00:00,131.13530092592592
2023-10-22 00:00:00+00:00,109.38387566137565
2023-10-29 00:00:00+00:00,118.82951851851851
2023-11-05 00:00:00+00:00,145.67951058201058
2023-11-12 00:00:00+00:00,130.95064814814816
2023-11-19 00:00:00+00:00,136.79663817663817
2023-11-26 00:00:00+00:00,128.21168699186993
2023-12-03 00:00:00+00:00,100.01077222222222
2023-12-10 00:00:00+00:00,132.6956172839506
2023-12-17 00:00:00+00:00,103.73073275862069
2023-12-24 00:00:00+00:00,148.01050505050503
2023-12-31 00:00:00+00:00,146.02423976608188
2024-01-07 00:00:00+00:00,139.42628917378917
2024-01-14 00:00:00+00:00,107.23074074074074
2024-01-21 00:00:00+00:00,106.65469907407407
2024-01-28 00:00:00+00:00,113.50733585858585
2024-02-04 00:00:00+00:00,137.6339619883041
2024-02-11 00:00:00+00:00,130.75105709876544
2024-02-18 00:00:00+00:00,124.62935185185185
2024-02-25 00:00:00+00:00,126.07314153439154
2024-03-03 00:00:00+00:00,161.44160206718345
