,items_items
2023-06-11 00:00:00+00:00,13.775401069518717
2023-06-18 00:00:00+00:00,12.827225130890053
2023-06-25 00:00:00+00:00,16.363636363636363
2023-07-02 00:00:00+00:00,15.507109004739336
2023-07-09 00:00:00+00:00,14.763157894736842
2023-07-16 00:00:00+00:00,17.52127659574468
2023-07-23 00:00:00+00:00,15.070422535211268
2023-07-30 00:00:00+00:00,14.301801801801801
2023-08-06 00:00:00+00:00,14.605555555555556
2023-08-13 00:00:00+00:00,14.736842105263158
2023-08-20 00:00:00+00:00,15.745192307692308
2023-08-27 00:00:00+00:00,12.416666666666666
2023-09-03 00:00:00+00:00,12.908675799086758
2023-09-10 00:00:00+00:00,13.572016460905349
2023-09-17 00:00:00+00:00,14.342465753424657
2023-09-24 00:00:00+00:00,15.023474178403756
2023-10-01 00:00:00+00:00,13.090395480225988
2023-10-08 00:00:00+00:00,16.895522388059703
2023-10-15 00:00:00+00:00,16.79396984924623
2023-10-22 00:00:00+00:00,14.514563106796116
2023-10-29 00:00:00+00:00,13.229665071770334
2023-11-05 00:00:00+00:00,16.55191256830601
2023-11-12 00:00:00+00:00,14.34010152284264
2023-11-19 00:00:00+00:00,13.52284263959391
2023-11-26 00:00:00+00:00,15.349514563106796
2023-12-03 00:00:00+00:00,13.302884615384615
2023-12-10 00:00:00+00:00,15.904761904761905
2023-12-17 00:00:00+00:00,12.765258215962442
2023-12-24 00:00:00+00:00,16.220588235294116
2023-12-31 00:00:00+00:00,15.602150537634408
2024-01-07 00:00:00+00:00,16.536082474226806
2024-01-14 00:00:00+00:00,13.56060606060606
2024-01-21 00:00:00+00:00,15.232323232323232
2024-01-28 00:00:00+00:00,11.063157894736841
2024-02-04 00:00:00+00:00,11.707446808510639
2024-02-11 00:00:00+00:00,12.485875706214689
2024-02-18 00:00:00+00:00,15.74712643678161
2024-02-25 00:00:00+00:00,15.804597701149426
2024-03-03 00:00:00+00:00,12.076142131979696
