,item out of stock
2023-06-11 00:00:00+00:00,32.157761904761905
2023-06-18 00:00:00+00:00,30.364019097222222
2023-06-25 00:00:00+00:00,27.928284722222223
2023-07-02 00:00:00+00:00,22.53242283950617
2023-07-09 00:00:00+00:00,22.2486917562724
2023-07-16 00:00:00+00:00,44.1513253968254
2023-07-23 00:00:00+00:00,29.097364864864865
2023-07-30 00:00:00+00:00,28.503541666666667
2023-08-06 00:00:00+00:00,32.77249158249158
2023-08-13 00:00:00+00:00,53.83107279693486
2023-08-20 00:00:00+00:00,46.25735632183908
2023-08-27 00:00:00+00:00,64.73774216524215
2023-09-03 00:00:00+00:00,46.08902777777778
2023-09-10 00:00:00+00:00,30.088342293906813
2023-09-17 00:00:00+00:00,26.89276041666667
2023-09-24 00:00:00+00:00,19.397538580246916
2023-10-01 00:00:00+00:00,20.726355555555557
2023-10-08 00:00:00+00:00,25.183333333333337
2023-10-15 00:00:00+00:00,22.844537037037036
2023-10-22 00:00:00+00:00,30.978686868686868
2023-10-29 00:00:00+00:00,23.815503472222222
2023-11-05 00:00:00+00:00,28.256444444444448
2023-11-12 00:00:00+00:00,25.730913742690056
2023-11-19 00:00:00+00:00,33.39518790849673
2023-11-26 00:00:00+00:00,16.03046594982079
2023-12-03 00:00:00+00:00,13.174444444444443
2023-12-10 00:00:00+00:00,24.802235449735452
2023-12-17 00:00:00+00:00,24.91317901234568
2023-12-24 00:00:00+00:00,28.100737547892717
2023-12-31 00:00:00+00:00,23.052473544973545
2024-01-07 00:00:00+00:00,17.254517195767196
2024-01-14 00:00:00+00:00,22.0532702020202
2024-01-21 00:00:00+00:00,22.605
2024-01-28 00:00:00+00:00,24.132743055555554
2024-02-04 00:00:00+00:00,33.15020833333333
2024-02-11 00:00:00+00:00,22.219474206349208
2024-02-18 00:00:00+00:00,19.08653846153846
2024-02-25 00:00:00+00:00,38.23233716475096
2024-03-03 00:00:00+00:00,22.844369658119657
