,pay order
2023-06-11 00:00:00+00:00,125.82207561728394
2023-06-18 00:00:00+00:00,136.12713492063494
2023-06-25 00:00:00+00:00,143.66804861111112
2023-07-02 00:00:00+00:00,133.95222222222222
2023-07-09 00:00:00+00:00,124.25252688172043
2023-07-16 00:00:00+00:00,171.0405158730159
2023-07-23 00:00:00+00:00,169.92875375375377
2023-07-30 00:00:00+00:00,193.09597800925926
2023-08-06 00:00:00+00:00,180.70632882882882
2023-08-13 00:00:00+00:00,190.8018253968254
2023-08-20 00:00:00+00:00,214.79398860398857
2023-08-27 00:00:00+00:00,204.44493686868688
2023-09-03 00:00:00+00:00,284.4288827160494
2023-09-10 00:00:00+00:00,227.28338566827696
2023-09-17 00:00:00+00:00,180.00562330623308
2023-09-24 00:00:00+00:00,151.43834656084655
2023-10-01 00:00:00+00:00,133.97355413105413
2023-10-08 00:00:00+00:00,104.07518518518519
2023-10-15 00:00:00+00:00,131.451149691358
2023-10-22 00:00:00+00:00,109.97126984126983
2023-10-29 00:00:00+00:00,120.00345061728396
2023-11-05 00:00:00+00:00,146.11638888888888
2023-11-12 00:00:00+00:00,131.66375
2023-11-19 00:00:00+00:00,137.8300356125356
2023-11-26 00:00:00+00:00,129.0834891598916
2023-12-03 00:00:00+00:00,101.41978333333333
2023-12-10 00:00:00+00:00,133.94755144032922
2023-12-17 00:00:00+00:00,106.05307471264368
2023-12-24 00:00:00+00:00,149.40489057239057
2023-12-31 00:00:00+00:00,146.56901315789474
2024-01-07 00:00:00+00:00,141.37018518518516
2024-01-14 00:00:00+00:00,108.61561728395061
2024-01-21 00:00:00+00:00,108.03599537037037
2024-01-28 00:00:00+00:00,114.63065656565655
2024-02-04 00:00:00+00:00,138.7044736842105
2024-02-11 00:00:00+00:00,132.0671913580247
2024-02-18 00:00:00+00:00,126.25541666666666
2024-02-25 00:00:00+00:00,127.82296957671959
2024-03-03 00:00:00+00:00,162.59583333333333
