,orders_products
2023-06-11 00:00:00+00:00,3.4135338345864663
2023-06-18 00:00:00+00:00,3.441860465116279
2023-06-25 00:00:00+00:00,3.8244274809160306
2023-07-02 00:00:00+00:00,3.5323741007194243
2023-07-09 00:00:00+00:00,3.559055118110236
2023-07-16 00:00:00+00:00,3.7886178861788617
2023-07-23 00:00:00+00:00,3.6971830985915495
2023-07-30 00:00:00+00:00,3.6458333333333335
2023-08-06 00:00:00+00:00,3.648854961832061
2023-08-13 00:00:00+00:00,3.6546762589928057
2023-08-20 00:00:00+00:00,3.6838235294117645
2023-08-27 00:00:00+00:00,3.4705882352941178
2023-09-03 00:00:00+00:00,3.3834586466165413
2023-09-10 00:00:00+00:00,3.5304878048780486
2023-09-17 00:00:00+00:00,3.593984962406015
2023-09-24 00:00:00+00:00,3.676258992805755
2023-10-01 00:00:00+00:00,3.3577235772357725
2023-10-08 00:00:00+00:00,3.8642857142857143
2023-10-15 00:00:00+00:00,3.550387596899225
2023-10-22 00:00:00+00:00,3.464788732394366
2023-10-29 00:00:00+00:00,3.563380281690141
2023-11-05 00:00:00+00:00,3.6717557251908395
2023-11-12 00:00:00+00:00,3.5808823529411766
2023-11-19 00:00:00+00:00,3.558139534883721
2023-11-26 00:00:00+00:00,3.2803030303030303
2023-12-03 00:00:00+00:00,3.7210884353741496
2023-12-10 00:00:00+00:00,3.3884297520661155
2023-12-17 00:00:00+00:00,3.4285714285714284
2023-12-24 00:00:00+00:00,3.619047619047619
2023-12-31 00:00:00+00:00,3.523076923076923
2024-01-07 00:00:00+00:00,3.746153846153846
2024-01-14 00:00:00+00:00,3.1180555555555554
2024-01-21 00:00:00+00:00,3.1013513513513513
2024-01-28 00:00:00+00:00,2.925925925925926
2024-02-04 00:00:00+00:00,3.1627906976744184
2024-02-11 00:00:00+00:00,3.0952380952380953
2024-02-18 00:00:00+00:00,2.917910447761194
2024-02-25 00:00:00+00:00,3.1259259259259258
2024-03-03 00:00:00+00:00,3.293233082706767
