,failed delivery
2023-06-11 00:00:00+00:00,14.054097222222222
2023-06-18 00:00:00+00:00,3.5062777777777776
2023-06-25 00:00:00+00:00,11.378518518518518
2023-07-02 00:00:00+00:00,1.4339814814814815
2023-07-09 00:00:00+00:00,1.1325
2023-07-16 00:00:00+00:00,3.232291666666667
2023-07-23 00:00:00+00:00,16.03611111111111
2023-07-30 00:00:00+00:00,3.625595238095238
2023-08-06 00:00:00+00:00,1.1333333333333333
2023-08-13 00:00:00+00:00,6.248703703703704
2023-08-20 00:00:00+00:00,2.0805
2023-08-27 00:00:00+00:00,7.335714285714286
2023-09-03 00:00:00+00:00,12.96861111111111
2023-09-10 00:00:00+00:00,2.251851851851852
2023-09-17 00:00:00+00:00,1.5394444444444444
2023-09-24 00:00:00+00:00,1.7112962962962963
2023-10-01 00:00:00+00:00,15.565555555555555
2023-10-08 00:00:00+00:00,8.430555555555555
2023-10-15 00:00:00+00:00,1.2823989898989898
2023-10-22 00:00:00+00:00,3.3246111111111114
2023-10-29 00:00:00+00:00,1.2003174603174604
2023-11-05 00:00:00+00:00,6.443333333333334
2023-11-12 00:00:00+00:00,2.2616666666666667
2023-11-19 00:00:00+00:00,4.639930555555556
2023-11-26 00:00:00+00:00,1.2555555555555553
2023-12-03 00:00:00+00:00,1.1723611111111112
2023-12-10 00:00:00+00:00,1.2136111111111112
2023-12-17 00:00:00+00:00,3.1901111111111113
2023-12-24 00:00:00+00:00,3.6080555555555556
2023-12-31 00:00:00+00:00,1.7153086419753087
2024-01-07 00:00:00+00:00,17.69493055555556
2024-01-14 00:00:00+00:00,1.3097222222222222
2024-01-21 00:00:00+00:00,3.6446180555555556
2024-01-28 00:00:00+00:00,3.106736111111111
2024-02-04 00:00:00+00:00,10.082881944444445
2024-02-11 00:00:00+00:00,20.41722222222222
2024-02-18 00:00:00+00:00,8.811574074074075
2024-02-25 00:00:00+00:00,5.266319444444445
2024-03-03 00:00:00+00:00,1.3695833333333334
