,send package_items
2023-06-11 00:00:00+00:00,7.090909090909091
2023-06-18 00:00:00+00:00,5.9523809523809526
2023-06-25 00:00:00+00:00,7.3478260869565215
2023-07-02 00:00:00+00:00,7.037037037037037
2023-07-09 00:00:00+00:00,6.333333333333333
2023-07-16 00:00:00+00:00,7.2
2023-07-23 00:00:00+00:00,7.04
2023-07-30 00:00:00+00:00,6.92
2023-08-06 00:00:00+00:00,7.105263157894737
2023-08-13 00:00:00+00:00,6.368421052631579
2023-08-20 00:00:00+00:00,7.428571428571429
2023-08-27 00:00:00+00:00,6.590909090909091
2023-09-03 00:00:00+00:00,6.275862068965517
2023-09-10 00:00:00+00:00,7.0
2023-09-17 00:00:00+00:00,6.258064516129032
2023-09-24 00:00:00+00:00,7.2
2023-10-01 00:00:00+00:00,6.7
2023-10-08 00:00:00+00:00,7.7727272727272725
2023-10-15 00:00:00+00:00,6.956521739130435
2023-10-22 00:00:00+00:00,7.090909090909091
2023-10-29 00:00:00+00:00,6.956521739130435
2023-11-05 00:00:00+00:00,7.095238095238095
2023-11-12 00:00:00+00:00,6.92
2023-11-19 00:00:00+00:00,6.590909090909091
2023-11-26 00:00:00+00:00,6.92
2023-12-03 00:00:00+00:00,6.090909090909091
2023-12-10 00:00:00+00:00,6.84
2023-12-17 00:00:00+00:00,6.555555555555555
2023-12-24 00:00:00+00:00,6.806451612903226
2023-12-31 00:00:00+00:00,6.7727272727272725
2024-01-07 00:00:00+00:00,6.869565217391305
2024-01-14 00:00:00+00:00,6.833333333333333
2024-01-21 00:00:00+00:00,6.714285714285714
2024-01-28 00:00:00+00:00,6.181818181818182
2024-02-04 00:00:00+00:00,6.25
2024-02-11 00:00:00+00:00,6.714285714285714
2024-02-18 00:00:00+00:00,6.7368421052631575
2024-02-25 00:00:00+00:00,7.190476190476191
2024-03-03 00:00:00+00:00,6.545454545454546
