,products_products
2023-06-11 00:00:00+00:00,10.848648648648648
2023-06-18 00:00:00+00:00,8.450261780104713
2023-06-25 00:00:00+00:00,11.494949494949495
2023-07-02 00:00:00+00:00,10.330143540669857
2023-07-09 00:00:00+00:00,10.578947368421053
2023-07-16 00:00:00+00:00,12.292553191489361
2023-07-23 00:00:00+00:00,10.056872037914692
2023-07-30 00:00:00+00:00,9.727272727272727
2023-08-06 00:00:00+00:00,9.597765363128492
2023-08-13 00:00:00+00:00,10.333333333333334
2023-08-20 00:00:00+00:00,11.093137254901961
2023-08-27 00:00:00+00:00,8.930693069306932
2023-09-03 00:00:00+00:00,9.252293577981652
2023-09-10 00:00:00+00:00,10.344398340248963
2023-09-17 00:00:00+00:00,10.302752293577981
2023-09-24 00:00:00+00:00,10.145539906103286
2023-10-01 00:00:00+00:00,9.573863636363637
2023-10-08 00:00:00+00:00,10.885
2023-10-15 00:00:00+00:00,12.203125
2023-10-22 00:00:00+00:00,10.75609756097561
2023-10-29 00:00:00+00:00,10.809756097560976
2023-11-05 00:00:00+00:00,11.961538461538462
2023-11-12 00:00:00+00:00,10.375634517766498
2023-11-19 00:00:00+00:00,9.649746192893401
2023-11-26 00:00:00+00:00,9.946601941747574
2023-12-03 00:00:00+00:00,9.29126213592233
2023-12-10 00:00:00+00:00,11.11229946524064
2023-12-17 00:00:00+00:00,9.127962085308058
2023-12-24 00:00:00+00:00,11.543147208121827
2023-12-31 00:00:00+00:00,10.86413043478261
2024-01-07 00:00:00+00:00,11.015463917525773
2024-01-14 00:00:00+00:00,9.596938775510203
2024-01-21 00:00:00+00:00,10.015625
2024-01-28 00:00:00+00:00,7.7272727272727275
2024-02-04 00:00:00+00:00,7.553191489361702
2024-02-11 00:00:00+00:00,8.686046511627907
2024-02-18 00:00:00+00:00,8.890173410404625
2024-02-25 00:00:00+00:00,10.982248520710058
2024-03-03 00:00:00+00:00,8.794871794871796
