,confirm order
2023-06-11 00:00:00+00:00,36.73900252525252
2023-06-18 00:00:00+00:00,33.09092171717172
2023-06-25 00:00:00+00:00,32.33084757834758
2023-07-02 00:00:00+00:00,29.477051767676766
2023-07-09 00:00:00+00:00,34.40924603174604
2023-07-16 00:00:00+00:00,46.40236467236467
2023-07-23 00:00:00+00:00,46.29277777777778
2023-07-30 00:00:00+00:00,39.605338753387535
2023-08-06 00:00:00+00:00,49.85624269005848
2023-08-13 00:00:00+00:00,55.23551587301588
2023-08-20 00:00:00+00:00,44.77806233062331
2023-08-27 00:00:00+00:00,56.716899224806205
2023-09-03 00:00:00+00:00,43.091812499999996
2023-09-10 00:00:00+00:00,35.593466183574876
2023-09-17 00:00:00+00:00,36.52908536585366
2023-09-24 00:00:00+00:00,34.05904938271605
2023-10-01 00:00:00+00:00,34.68283950617284
2023-10-08 00:00:00+00:00,32.13209948320414
2023-10-15 00:00:00+00:00,37.58489159891599
2023-10-22 00:00:00+00:00,35.678
2023-10-29 00:00:00+00:00,24.003963414634146
2023-11-05 00:00:00+00:00,29.73916666666667
2023-11-12 00:00:00+00:00,29.784972899729
2023-11-19 00:00:00+00:00,36.76752192982456
2023-11-26 00:00:00+00:00,37.55329166666667
2023-12-03 00:00:00+00:00,39.47229328165375
2023-12-10 00:00:00+00:00,35.270206552706554
2023-12-17 00:00:00+00:00,38.4426268115942
2023-12-24 00:00:00+00:00,38.97286111111111
2023-12-31 00:00:00+00:00,31.46529810298103
2024-01-07 00:00:00+00:00,36.35457994579946
2024-01-14 00:00:00+00:00,32.659695121951216
2024-01-21 00:00:00+00:00,37.17001893939394
2024-01-28 00:00:00+00:00,33.433839031339026
2024-02-04 00:00:00+00:00,30.72938492063492
2024-02-11 00:00:00+00:00,34.442142857142855
2024-02-18 00:00:00+00:00,32.378133074935405
2024-02-25 00:00:00+00:00,27.726361788617883
2024-03-03 00:00:00+00:00,31.864144144144145
