,payment reminder
2023-06-11 00:00:00+00:00,22.412305555555555
2023-06-18 00:00:00+00:00,9.204259259259258
2023-06-25 00:00:00+00:00,3.203101851851852
2023-07-02 00:00:00+00:00,11.557795138888888
2023-07-09 00:00:00+00:00,16.72280701754386
2023-07-16 00:00:00+00:00,7.333827160493827
2023-07-23 00:00:00+00:00,15.55624269005848
2023-07-30 00:00:00+00:00,7.822555555555556
2023-08-06 00:00:00+00:00,15.481
2023-08-13 00:00:00+00:00,6.635912698412698
2023-08-20 00:00:00+00:00,9.211132478632479
2023-08-27 00:00:00+00:00,8.923531746031745
2023-09-03 00:00:00+00:00,4.643492063492063
2023-09-10 00:00:00+00:00,11.759027777777778
2023-09-17 00:00:00+00:00,4.1046875
2023-09-24 00:00:00+00:00,6.666458333333334
2023-10-01 00:00:00+00:00,26.353055555555557
2023-10-08 00:00:00+00:00,12.08579861111111
2023-10-15 00:00:00+00:00,6.87260101010101
2023-10-22 00:00:00+00:00,8.580535714285714
2023-10-29 00:00:00+00:00,13.428425925925927
2023-11-05 00:00:00+00:00,7.686851851851852
2023-11-12 00:00:00+00:00,4.517435897435897
2023-11-19 00:00:00+00:00,13.914343434343435
2023-11-26 00:00:00+00:00,14.923194444444444
2023-12-03 00:00:00+00:00,4.78224358974359
2023-12-10 00:00:00+00:00,7.259230769230769
2023-12-17 00:00:00+00:00,1.3842283950617285
2023-12-24 00:00:00+00:00,7.874570707070706
2023-12-31 00:00:00+00:00,9.994944444444446
2024-01-07 00:00:00+00:00,5.059722222222223
2024-01-14 00:00:00+00:00,7.498648148148148
2024-01-21 00:00:00+00:00,15.05517361111111
2024-01-28 00:00:00+00:00,4.670176767676768
2024-02-04 00:00:00+00:00,8.834563492063491
2024-02-11 00:00:00+00:00,9.964325396825396
2024-02-18 00:00:00+00:00,10.429126984126984
2024-02-25 00:00:00+00:00,11.998560606060607
2024-03-03 00:00:00+00:00,7.232870370370371
