,send package
2023-06-11 00:00:00+00:00,24.032563131313132
2023-06-18 00:00:00+00:00,27.405714285714286
2023-06-25 00:00:00+00:00,11.762246376811595
2023-07-02 00:00:00+00:00,20.381625514403293
2023-07-09 00:00:00+00:00,16.19534722222222
2023-07-16 00:00:00+00:00,7.755819444444444
2023-07-23 00:00:00+00:00,12.341177777777778
2023-07-30 00:00:00+00:00,11.581533333333335
2023-08-06 00:00:00+00:00,14.502850877192984
2023-08-13 00:00:00+00:00,8.313216374269006
2023-08-20 00:00:00+00:00,23.669497354497356
2023-08-27 00:00:00+00:00,10.80729797979798
2023-09-03 00:00:00+00:00,8.489013409961686
2023-09-10 00:00:00+00:00,11.866324074074074
2023-09-17 00:00:00+00:00,15.165743727598565
2023-09-24 00:00:00+00:00,9.364122222222223
2023-10-01 00:00:00+00:00,24.17175
2023-10-08 00:00:00+00:00,20.729469696969698
2023-10-15 00:00:00+00:00,23.03800724637681
2023-10-22 00:00:00+00:00,11.328775252525253
2023-10-29 00:00:00+00:00,23.291099033816423
2023-11-05 00:00:00+00:00,34.50083333333333
2023-11-12 00:00:00+00:00,20.791022222222225
2023-11-19 00:00:00+00:00,13.262866161616161
2023-11-26 00:00:00+00:00,13.079766666666666
2023-12-03 00:00:00+00:00,17.6804797979798
2023-12-10 00:00:00+00:00,19.24808888888889
2023-12-17 00:00:00+00:00,23.453379629629627
2023-12-24 00:00:00+00:00,20.104587813620068
2023-12-31 00:00:00+00:00,14.691224747474747
2024-01-07 00:00:00+00:00,12.864927536231884
2024-01-14 00:00:00+00:00,29.29527777777778
2024-01-21 00:00:00+00:00,20.43234126984127
2024-01-28 00:00:00+00:00,17.93114898989899
2024-02-04 00:00:00+00:00,14.058208333333335
2024-02-11 00:00:00+00:00,26.894748677248675
2024-02-18 00:00:00+00:00,32.372251461988306
2024-02-25 00:00:00+00:00,16.622698412698416
2024-03-03 00:00:00+00:00,25.956957070707073
