,packages_products
2023-06-11 00:00:00+00:00,6.176470588235294
2023-06-18 00:00:00+00:00,4.860759493670886
2023-06-25 00:00:00+00:00,6.012820512820513
2023-07-02 00:00:00+00:00,5.925
2023-07-09 00:00:00+00:00,5.6438356164383565
2023-07-16 00:00:00+00:00,6.094594594594595
2023-07-23 00:00:00+00:00,5.658227848101266
2023-07-30 00:00:00+00:00,5.488095238095238
2023-08-06 00:00:00+00:00,5.56140350877193
2023-08-13 00:00:00+00:00,5.7846153846153845
2023-08-20 00:00:00+00:00,5.934210526315789
2023-08-27 00:00:00+00:00,5.386666666666667
2023-09-03 00:00:00+00:00,5.361702127659575
2023-09-10 00:00:00+00:00,5.967032967032967
2023-09-17 00:00:00+00:00,5.33
2023-09-24 00:00:00+00:00,5.839506172839506
2023-10-01 00:00:00+00:00,5.787878787878788
2023-10-08 00:00:00+00:00,6.17910447761194
2023-10-15 00:00:00+00:00,5.7625
2023-10-22 00:00:00+00:00,6.216216216216216
2023-10-29 00:00:00+00:00,6.012987012987013
2023-11-05 00:00:00+00:00,6.086956521739131
2023-11-12 00:00:00+00:00,5.986301369863014
2023-11-19 00:00:00+00:00,5.581081081081081
2023-11-26 00:00:00+00:00,5.795180722891566
2023-12-03 00:00:00+00:00,5.1571428571428575
2023-12-10 00:00:00+00:00,5.679012345679013
2023-12-17 00:00:00+00:00,5.597014925373134
2023-12-24 00:00:00+00:00,5.579545454545454
2023-12-31 00:00:00+00:00,5.72
2024-01-07 00:00:00+00:00,5.723684210526316
2024-01-14 00:00:00+00:00,5.833333333333333
2024-01-21 00:00:00+00:00,5.577464788732394
2024-01-28 00:00:00+00:00,5.135135135135135
2024-02-04 00:00:00+00:00,4.928571428571429
2024-02-11 00:00:00+00:00,5.609375
2024-02-18 00:00:00+00:00,5.378787878787879
2024-02-25 00:00:00+00:00,5.895522388059701
2024-03-03 00:00:00+00:00,5.642857142857143
