,payment reminder
2023-06-11 00:00:00+00:00,475.58616666666666
2023-06-18 00:00:00+00:00,469.9785185185185
2023-06-25 00:00:00+00:00,477.8748611111111
2023-07-02 00:00:00+00:00,476.0264583333333
2023-07-09 00:00:00+00:00,478.60403508771935
2023-07-16 00:00:00+00:00,479.4698456790123
2023-07-23 00:00:00+00:00,477.7757894736842
2023-07-30 00:00:00+00:00,477.2233703703704
2023-08-06 00:00:00+00:00,476.23716666666667
2023-08-13 00:00:00+00:00,475.77458333333334
2023-08-20 00:00:00+00:00,473.5534829059829
2023-08-27 00:00:00+00:00,477.8753571428571
2023-09-03 00:00:00+00:00,477.35416666666663
2023-09-10 00:00:00+00:00,475.42010416666665
2023-09-17 00:00:00+00:00,477.09875
2023-09-24 00:00:00+00:00,474.36553240740744
2023-10-01 00:00:00+00:00,475.804880952381
2023-10-08 00:00:00+00:00,476.1597048611111
2023-10-15 00:00:00+00:00,476.96166666666664
2023-10-22 00:00:00+00:00,470.1229365079365
2023-10-29 00:00:00+00:00,476.15774074074073
2023-11-05 00:00:00+00:00,474.50429012345677
2023-11-12 00:00:00+00:00,475.98923076923074
2023-11-19 00:00:00+00:00,475.767702020202
2023-11-26 00:00:00+00:00,477.8031666666667
2023-12-03 00:00:00+00:00,475.2597863247863
2023-12-10 00:00:00+00:00,477.2211965811966
2023-12-17 00:00:00+00:00,478.08018518518514
2023-12-24 00:00:00+00:00,479.3763383838384
2023-12-31 00:00:00+00:00,477.2196666666667
2024-01-07 00:00:00+00:00,468.3600925925926
2024-01-14 00:00:00+00:00,474.7363148148148
2024-01-21 00:00:00+00:00,474.4909375
2024-01-28 00:00:00+00:00,471.6110101010101
2024-02-04 00:00:00+00:00,479.8581349206349
2024-02-11 00:00:00+00:00,467.8459523809524
2024-02-18 00:00:00+00:00,468.94918650793653
2024-02-25 00:00:00+00:00,473.04436868686867
2024-03-03 00:00:00+00:00,471.74766203703706
