,employees_items
2023-06-11 00:00:00+00:00,3.09480122324159
2023-06-18 00:00:00+00:00,2.7768361581920904
2023-06-25 00:00:00+00:00,3.164804469273743
2023-07-02 00:00:00+00:00,3.2416666666666667
2023-07-09 00:00:00+00:00,2.94375
2023-07-16 00:00:00+00:00,3.013927576601671
2023-07-23 00:00:00+00:00,3.171830985915493
2023-07-30 00:00:00+00:00,3.1676136363636362
2023-08-06 00:00:00+00:00,2.9112627986348123
2023-08-13 00:00:00+00:00,3.0098039215686274
2023-08-20 00:00:00+00:00,3.323809523809524
2023-08-27 00:00:00+00:00,2.775910364145658
2023-09-03 00:00:00+00:00,3.0536193029490617
2023-09-10 00:00:00+00:00,3.1838790931989926
2023-09-17 00:00:00+00:00,2.965432098765432
2023-09-24 00:00:00+00:00,3.25414364640884
2023-10-01 00:00:00+00:00,3.040133779264214
2023-10-08 00:00:00+00:00,3.2123893805309733
2023-10-15 00:00:00+00:00,3.1826086956521737
2023-10-22 00:00:00+00:00,3.182089552238806
2023-10-29 00:00:00+00:00,2.962962962962963
2023-11-05 00:00:00+00:00,3.0752351097178683
2023-11-12 00:00:00+00:00,2.945945945945946
2023-11-19 00:00:00+00:00,2.9011627906976742
2023-11-26 00:00:00+00:00,3.305389221556886
2023-12-03 00:00:00+00:00,2.986754966887417
2023-12-10 00:00:00+00:00,2.967391304347826
2023-12-17 00:00:00+00:00,2.984126984126984
2023-12-24 00:00:00+00:00,3.2857142857142856
2023-12-31 00:00:00+00:00,2.8735955056179776
2024-01-07 00:00:00+00:00,2.943396226415094
2024-01-14 00:00:00+00:00,3.147798742138365
2024-01-21 00:00:00+00:00,3.0964630225080385
2024-01-28 00:00:00+00:00,2.990033222591362
2024-02-04 00:00:00+00:00,2.8823529411764706
2024-02-11 00:00:00+00:00,3.037671232876712
2024-02-18 00:00:00+00:00,3.1363636363636362
2024-02-25 00:00:00+00:00,3.0786163522012577
2024-03-03 00:00:00+00:00,3.0192926045016075
