,customers_items
2023-06-11 00:00:00+00:00,3.67816091954023
2023-06-18 00:00:00+00:00,3.6705882352941175
2023-06-25 00:00:00+00:00,4.6075949367088604
2023-07-02 00:00:00+00:00,4.035294117647059
2023-07-09 00:00:00+00:00,3.8051948051948052
2023-07-16 00:00:00+00:00,4.367088607594937
2023-07-23 00:00:00+00:00,4.186046511627907
2023-07-30 00:00:00+00:00,3.765432098765432
2023-08-06 00:00:00+00:00,3.848101265822785
2023-08-13 00:00:00+00:00,3.9397590361445785
2023-08-20 00:00:00+00:00,4.011904761904762
2023-08-27 00:00:00+00:00,3.541176470588235
2023-09-03 00:00:00+00:00,3.728395061728395
2023-09-10 00:00:00+00:00,3.9655172413793105
2023-09-17 00:00:00+00:00,4.059523809523809
2023-09-24 00:00:00+00:00,3.929411764705882
2023-10-01 00:00:00+00:00,3.5974025974025974
2023-10-08 00:00:00+00:00,4.211764705882353
2023-10-15 00:00:00+00:00,3.8536585365853657
2023-10-22 00:00:00+00:00,3.686046511627907
2023-10-29 00:00:00+00:00,4.036585365853658
2023-11-05 00:00:00+00:00,3.95
2023-11-12 00:00:00+00:00,4.185185185185185
2023-11-19 00:00:00+00:00,3.7848101265822787
2023-11-26 00:00:00+00:00,3.2839506172839505
2023-12-03 00:00:00+00:00,3.9404761904761907
2023-12-10 00:00:00+00:00,3.6419753086419755
2023-12-17 00:00:00+00:00,3.8275862068965516
2023-12-24 00:00:00+00:00,3.7804878048780486
2023-12-31 00:00:00+00:00,4.024390243902439
2024-01-07 00:00:00+00:00,4.2682926829268295
2024-01-14 00:00:00+00:00,3.357142857142857
2024-01-21 00:00:00+00:00,3.261904761904762
2024-01-28 00:00:00+00:00,3.2125
2024-02-04 00:00:00+00:00,3.380952380952381
2024-02-11 00:00:00+00:00,3.325301204819277
2024-02-18 00:00:00+00:00,3.2857142857142856
2024-02-25 00:00:00+00:00,3.5609756097560976
2024-03-03 00:00:00+00:00,3.6666666666666665
