,place order_items
2023-06-11 00:00:00+00:00,3.7209302325581395
2023-06-18 00:00:00+00:00,3.682926829268293
2023-06-25 00:00:00+00:00,4.65
2023-07-02 00:00:00+00:00,3.8780487804878048
2023-07-09 00:00:00+00:00,3.9761904761904763
2023-07-16 00:00:00+00:00,4.275
2023-07-23 00:00:00+00:00,4.261904761904762
2023-07-30 00:00:00+00:00,3.6
2023-08-06 00:00:00+00:00,3.8536585365853657
2023-08-13 00:00:00+00:00,3.975609756097561
2023-08-20 00:00:00+00:00,4.046511627906977
2023-08-27 00:00:00+00:00,3.380952380952381
2023-09-03 00:00:00+00:00,3.926829268292683
2023-09-10 00:00:00+00:00,4.0
2023-09-17 00:00:00+00:00,4.1395348837209305
2023-09-24 00:00:00+00:00,3.75
2023-10-01 00:00:00+00:00,3.5121951219512195
2023-10-08 00:00:00+00:00,4.476190476190476
2023-10-15 00:00:00+00:00,3.6097560975609757
2023-10-22 00:00:00+00:00,3.682926829268293
2023-10-29 00:00:00+00:00,4.146341463414634
2023-11-05 00:00:00+00:00,4.073170731707317
2023-11-12 00:00:00+00:00,3.975
2023-11-19 00:00:00+00:00,3.8780487804878048
2023-11-26 00:00:00+00:00,3.2439024390243905
2023-12-03 00:00:00+00:00,3.975609756097561
2023-12-10 00:00:00+00:00,3.6666666666666665
2023-12-17 00:00:00+00:00,3.8536585365853657
2023-12-24 00:00:00+00:00,3.619047619047619
2023-12-31 00:00:00+00:00,4.219512195121951
2024-01-07 00:00:00+00:00,4.121951219512195
2024-01-14 00:00:00+00:00,3.3255813953488373
2024-01-21 00:00:00+00:00,3.35
2024-01-28 00:00:00+00:00,3.1219512195121952
2024-02-04 00:00:00+00:00,3.4047619047619047
2024-02-11 00:00:00+00:00,3.292682926829268
2024-02-18 00:00:00+00:00,3.3658536585365852
2024-02-25 00:00:00+00:00,3.5121951219512195
2024-03-03 00:00:00+00:00,3.6097560975609757
