,create package
2023-06-11 00:00:00+00:00,65.60010101010101
2023-06-18 00:00:00+00:00,68.94598888888889
2023-06-25 00:00:00+00:00,65.76102657004832
2023-07-02 00:00:00+00:00,58.63395833333333
2023-07-09 00:00:00+00:00,56.856123188405796
2023-07-16 00:00:00+00:00,62.515677777777775
2023-07-23 00:00:00+00:00,62.1416792929293
2023-07-30 00:00:00+00:00,64.30041666666666
2023-08-06 00:00:00+00:00,86.4587638888889
2023-08-13 00:00:00+00:00,73.42698611111112
2023-08-20 00:00:00+00:00,66.52760582010582
2023-08-27 00:00:00+00:00,59.35563034188034
2023-09-03 00:00:00+00:00,66.30574786324786
2023-09-10 00:00:00+00:00,55.21834291187739
2023-09-17 00:00:00+00:00,56.83394265232975
2023-09-24 00:00:00+00:00,51.69638888888889
2023-10-01 00:00:00+00:00,69.42914021164022
2023-10-08 00:00:00+00:00,79.68820833333334
2023-10-15 00:00:00+00:00,67.67147777777778
2023-10-22 00:00:00+00:00,74.99586257309942
2023-10-29 00:00:00+00:00,63.29028846153846
2023-11-05 00:00:00+00:00,84.57420833333333
2023-11-12 00:00:00+00:00,65.12524305555556
2023-11-19 00:00:00+00:00,51.26336956521739
2023-11-26 00:00:00+00:00,74.841461352657
2023-12-03 00:00:00+00:00,55.12305555555556
2023-12-10 00:00:00+00:00,57.45135416666667
2023-12-17 00:00:00+00:00,69.57670634920635
2023-12-24 00:00:00+00:00,49.77719135802469
2023-12-31 00:00:00+00:00,70.06800505050505
2024-01-07 00:00:00+00:00,53.48085555555556
2024-01-14 00:00:00+00:00,59.60440821256039
2024-01-21 00:00:00+00:00,78.12142857142857
2024-01-28 00:00:00+00:00,76.09900252525253
2024-02-04 00:00:00+00:00,79.78426388888889
2024-02-11 00:00:00+00:00,57.01603535353536
2024-02-18 00:00:00+00:00,74.2241975308642
2024-02-25 00:00:00+00:00,62.023650793650795
2024-03-03 00:00:00+00:00,70.44796296296296
