,package delivered
2023-06-11 00:00:00+00:00,17.41645833333333
2023-06-18 00:00:00+00:00,20.101376811594204
2023-06-25 00:00:00+00:00,17.660416666666666
2023-07-02 00:00:00+00:00,12.494371980676329
2023-07-09 00:00:00+00:00,23.998586956521738
2023-07-16 00:00:00+00:00,25.908875661375664
2023-07-23 00:00:00+00:00,14.895398550724636
2023-07-30 00:00:00+00:00,21.105218253968253
2023-08-06 00:00:00+00:00,22.369314814814814
2023-08-13 00:00:00+00:00,39.72097222222222
2023-08-20 00:00:00+00:00,28.006643518518516
2023-08-27 00:00:00+00:00,21.460180555555556
2023-09-03 00:00:00+00:00,24.56621527777778
2023-09-10 00:00:00+00:00,13.665450191570882
2023-09-17 00:00:00+00:00,17.874375
2023-09-24 00:00:00+00:00,14.690640096618356
2023-10-01 00:00:00+00:00,20.503659420289853
2023-10-08 00:00:00+00:00,13.737367149758454
2023-10-15 00:00:00+00:00,10.068650793650793
2023-10-22 00:00:00+00:00,15.270748792270531
2023-10-29 00:00:00+00:00,15.538359788359788
2023-11-05 00:00:00+00:00,16.980378787878788
2023-11-12 00:00:00+00:00,16.196545893719808
2023-11-19 00:00:00+00:00,22.400449735449733
2023-11-26 00:00:00+00:00,19.557738095238097
2023-12-03 00:00:00+00:00,9.234541666666667
2023-12-10 00:00:00+00:00,17.012777777777778
2023-12-17 00:00:00+00:00,15.570077160493826
2023-12-24 00:00:00+00:00,14.528419540229885
2023-12-31 00:00:00+00:00,22.445732323232324
2024-01-07 00:00:00+00:00,20.46443287037037
2024-01-14 00:00:00+00:00,17.59987922705314
2024-01-21 00:00:00+00:00,23.636190476190478
2024-01-28 00:00:00+00:00,20.169671717171717
2024-02-04 00:00:00+00:00,14.459810606060607
2024-02-11 00:00:00+00:00,18.008194444444445
2024-02-18 00:00:00+00:00,19.595819444444444
2024-02-25 00:00:00+00:00,13.119113756613755
2024-03-03 00:00:00+00:00,18.670151515151517
