,orders_price
2023-06-11 00:00:00+00:00,2106.528623853211
2023-06-18 00:00:00+00:00,2118.7249122807016
2023-06-25 00:00:00+00:00,2316.8987394957985
2023-07-02 00:00:00+00:00,2488.2481666666667
2023-07-09 00:00:00+00:00,2383.6955645161293
2023-07-16 00:00:00+00:00,2421.185864661654
2023-07-23 00:00:00+00:00,2435.761785714286
2023-07-30 00:00:00+00:00,2388.924125874126
2023-08-06 00:00:00+00:00,2401.7620588235295
2023-08-13 00:00:00+00:00,2474.044
2023-08-20 00:00:00+00:00,2523.8651063829784
2023-08-27 00:00:00+00:00,2301.6590277777777
2023-09-03 00:00:00+00:00,2264.0372340425533
2023-09-10 00:00:00+00:00,2571.8099270072994
2023-09-17 00:00:00+00:00,2666.6834234234234
2023-09-24 00:00:00+00:00,2572.8746363636365
2023-10-01 00:00:00+00:00,2332.356422018349
2023-10-08 00:00:00+00:00,2439.9440178571426
2023-10-15 00:00:00+00:00,2244.296403508772
2023-10-22 00:00:00+00:00,2160.69
2023-10-29 00:00:00+00:00,2132.09593220339
2023-11-05 00:00:00+00:00,2389.003274336283
2023-11-12 00:00:00+00:00,2538.946339285714
2023-11-19 00:00:00+00:00,2390.3824324324323
2023-11-26 00:00:00+00:00,2419.1349557522126
2023-12-03 00:00:00+00:00,2287.331238938053
2023-12-10 00:00:00+00:00,2159.0626666666667
2023-12-17 00:00:00+00:00,2217.144117647059
2023-12-24 00:00:00+00:00,2399.497281553398
2023-12-31 00:00:00+00:00,2372.2844144144146
2024-01-07 00:00:00+00:00,2627.7798245614035
2024-01-14 00:00:00+00:00,2353.4778813559324
2024-01-21 00:00:00+00:00,2280.545486725664
2024-01-28 00:00:00+00:00,1934.3247169811323
2024-02-04 00:00:00+00:00,1994.8718269230767
2024-02-11 00:00:00+00:00,2179.292056074766
2024-02-18 00:00:00+00:00,2122.5564285714286
2024-02-25 00:00:00+00:00,2176.6502564102566
2024-03-03 00:00:00+00:00,2147.0499145299145
