,item out of stock
2023-06-11 00:00:00+00:00,33.566500000000005
2023-06-18 00:00:00+00:00,33.6771875
2023-06-25 00:00:00+00:00,29.14457638888889
2023-07-02 00:00:00+00:00,29.23908950617284
2023-07-09 00:00:00+00:00,25.71766129032258
2023-07-16 00:00:00+00:00,46.56006349206349
2023-07-23 00:00:00+00:00,34.34321321321321
2023-07-30 00:00:00+00:00,36.39215277777778
2023-08-06 00:00:00+00:00,37.9873063973064
2023-08-13 00:00:00+00:00,54.98518199233717
2023-08-20 00:00:00+00:00,50.398266283524904
2023-08-27 00:00:00+00:00,66.18055555555556
2023-09-03 00:00:00+00:00,47.700853174603175
2023-09-10 00:00:00+00:00,32.05679211469534
2023-09-17 00:00:00+00:00,29.145147569444443
2023-09-24 00:00:00+00:00,20.490848765432098
2023-10-01 00:00:00+00:00,22.572722222222225
2023-10-08 00:00:00+00:00,26.497289562289563
2023-10-15 00:00:00+00:00,23.32560185185185
2023-10-22 00:00:00+00:00,32.99302188552189
2023-10-29 00:00:00+00:00,25.607743055555556
2023-11-05 00:00:00+00:00,29.90517361111111
2023-11-12 00:00:00+00:00,26.281644736842104
2023-11-19 00:00:00+00:00,33.2534885620915
2023-11-26 00:00:00+00:00,19.234050179211472
2023-12-03 00:00:00+00:00,17.147588888888887
2023-12-10 00:00:00+00:00,24.829391534391533
2023-12-17 00:00:00+00:00,28.360812757201646
2023-12-24 00:00:00+00:00,30.78094827586207
2023-12-31 00:00:00+00:00,25.03402777777778
2024-01-07 00:00:00+00:00,19.42987433862434
2024-01-14 00:00:00+00:00,23.898080808080806
2024-01-21 00:00:00+00:00,24.680534979423868
2024-01-28 00:00:00+00:00,28.994149305555556
2024-02-04 00:00:00+00:00,39.589108796296294
2024-02-11 00:00:00+00:00,23.73765873015873
2024-02-18 00:00:00+00:00,23.532232905982905
2024-02-25 00:00:00+00:00,39.59475095785441
2024-03-03 00:00:00+00:00,19.564102564102562
