,place order
2023-06-11 00:00:00+00:00,9.162790697674419
2023-06-18 00:00:00+00:00,9.048780487804878
2023-06-25 00:00:00+00:00,10.85
2023-07-02 00:00:00+00:00,9.365853658536585
2023-07-09 00:00:00+00:00,9.476190476190476
2023-07-16 00:00:00+00:00,10.075
2023-07-23 00:00:00+00:00,10.047619047619047
2023-07-30 00:00:00+00:00,8.8
2023-08-06 00:00:00+00:00,9.414634146341463
2023-08-13 00:00:00+00:00,9.707317073170731
2023-08-20 00:00:00+00:00,9.720930232558139
2023-08-27 00:00:00+00:00,8.571428571428571
2023-09-03 00:00:00+00:00,9.512195121951219
2023-09-10 00:00:00+00:00,9.682926829268293
2023-09-17 00:00:00+00:00,9.86046511627907
2023-09-24 00:00:00+00:00,9.175
2023-10-01 00:00:00+00:00,8.731707317073171
2023-10-08 00:00:00+00:00,10.452380952380953
2023-10-15 00:00:00+00:00,9.024390243902438
2023-10-22 00:00:00+00:00,9.097560975609756
2023-10-29 00:00:00+00:00,9.975609756097562
2023-11-05 00:00:00+00:00,9.634146341463415
2023-11-12 00:00:00+00:00,9.625
2023-11-19 00:00:00+00:00,9.439024390243903
2023-11-26 00:00:00+00:00,8.292682926829269
2023-12-03 00:00:00+00:00,9.560975609756097
2023-12-10 00:00:00+00:00,9.023809523809524
2023-12-17 00:00:00+00:00,9.463414634146341
2023-12-24 00:00:00+00:00,9.095238095238095
2023-12-31 00:00:00+00:00,9.926829268292684
2024-01-07 00:00:00+00:00,9.75609756097561
2024-01-14 00:00:00+00:00,8.325581395348838
2024-01-21 00:00:00+00:00,8.4
2024-01-28 00:00:00+00:00,7.951219512195122
2024-02-04 00:00:00+00:00,8.571428571428571
2024-02-11 00:00:00+00:00,8.317073170731707
2024-02-18 00:00:00+00:00,8.414634146341463
2024-02-25 00:00:00+00:00,8.634146341463415
2024-03-03 00:00:00+00:00,8.878048780487806
