,pick item
2023-06-11 00:00:00+00:00,61.44352549467275
2023-06-18 00:00:00+00:00,54.41222891566265
2023-06-25 00:00:00+00:00,49.30956978319784
2023-07-02 00:00:00+00:00,56.94272423025435
2023-07-09 00:00:00+00:00,63.61583706189411
2023-07-16 00:00:00+00:00,66.3137097304405
2023-07-23 00:00:00+00:00,64.35763031550069
2023-07-30 00:00:00+00:00,87.678228139382
2023-08-06 00:00:00+00:00,72.22569841269842
2023-08-13 00:00:00+00:00,72.56024007936509
2023-08-20 00:00:00+00:00,64.77621857258718
2023-08-27 00:00:00+00:00,108.68887215528783
2023-09-03 00:00:00+00:00,114.40708097928437
2023-09-10 00:00:00+00:00,87.26250850340136
2023-09-17 00:00:00+00:00,81.3702918781726
2023-09-24 00:00:00+00:00,54.82138231426693
2023-10-01 00:00:00+00:00,61.87815656565656
2023-10-08 00:00:00+00:00,45.743990963855424
2023-10-15 00:00:00+00:00,53.65166835016835
2023-10-22 00:00:00+00:00,56.62710022522523
2023-10-29 00:00:00+00:00,61.19805555555555
2023-11-05 00:00:00+00:00,53.46458333333334
2023-11-12 00:00:00+00:00,50.88127840909091
2023-11-19 00:00:00+00:00,63.34284293552812
2023-11-26 00:00:00+00:00,68.71403691520469
2023-12-03 00:00:00+00:00,38.471374798711764
2023-12-10 00:00:00+00:00,71.94652947154471
2023-12-17 00:00:00+00:00,59.282545977011495
2023-12-24 00:00:00+00:00,68.46253352490422
2023-12-31 00:00:00+00:00,58.29356625258799
2024-01-07 00:00:00+00:00,53.9825641025641
2024-01-14 00:00:00+00:00,63.76780608634112
2024-01-21 00:00:00+00:00,66.96930458430458
2024-01-28 00:00:00+00:00,62.09934401709401
2024-02-04 00:00:00+00:00,48.686994404476415
2024-02-11 00:00:00+00:00,64.11722821742606
2024-02-18 00:00:00+00:00,56.3726738934056
2024-02-25 00:00:00+00:00,58.73978001491424
2024-03-03 00:00:00+00:00,51.58187726942629
