,place order
2023-06-11 00:00:00+00:00,35.55140180878553
2023-06-18 00:00:00+00:00,44.719349593495934
2023-06-25 00:00:00+00:00,51.11208333333334
2023-07-02 00:00:00+00:00,36.023590785907864
2023-07-09 00:00:00+00:00,53.842440476190475
2023-07-16 00:00:00+00:00,45.379124999999995
2023-07-23 00:00:00+00:00,42.80673941798942
2023-07-30 00:00:00+00:00,43.32907638888889
2023-08-06 00:00:00+00:00,48.96546070460705
2023-08-13 00:00:00+00:00,39.52603658536585
2023-08-20 00:00:00+00:00,42.51700904392765
2023-08-27 00:00:00+00:00,42.502123015873025
2023-09-03 00:00:00+00:00,41.46086043360433
2023-09-10 00:00:00+00:00,43.033529810298106
2023-09-17 00:00:00+00:00,44.058972868217054
2023-09-24 00:00:00+00:00,44.322562500000004
2023-10-01 00:00:00+00:00,39.42505420054201
2023-10-08 00:00:00+00:00,55.801600529100526
2023-10-15 00:00:00+00:00,43.17463414634147
2023-10-22 00:00:00+00:00,44.2880081300813
2023-10-29 00:00:00+00:00,49.108333333333334
2023-11-05 00:00:00+00:00,47.00745257452574
2023-11-12 00:00:00+00:00,47.43861805555556
2023-11-19 00:00:00+00:00,50.3310162601626
2023-11-26 00:00:00+00:00,47.42966124661246
2023-12-03 00:00:00+00:00,42.951646341463416
2023-12-10 00:00:00+00:00,47.73134920634921
2023-12-17 00:00:00+00:00,46.50320460704607
2023-12-24 00:00:00+00:00,47.85252645502646
2023-12-31 00:00:00+00:00,37.48043360433604
2024-01-07 00:00:00+00:00,53.036253387533876
2024-01-14 00:00:00+00:00,37.494108527131786
2024-01-21 00:00:00+00:00,53.55098611111111
2024-01-28 00:00:00+00:00,41.85217479674797
2024-02-04 00:00:00+00:00,45.55080687830687
2024-02-11 00:00:00+00:00,47.197195121951225
2024-02-18 00:00:00+00:00,39.77934281842819
2024-02-25 00:00:00+00:00,57.57217479674797
2024-03-03 00:00:00+00:00,42.95202574525746
