,pick item
2023-06-11 00:00:00+00:00,58.56781773211568
2023-06-18 00:00:00+00:00,52.457950133868806
2023-06-25 00:00:00+00:00,47.71162601626016
2023-07-02 00:00:00+00:00,53.516363788487276
2023-07-09 00:00:00+00:00,60.981871737509316
2023-07-16 00:00:00+00:00,64.77500657462195
2023-07-23 00:00:00+00:00,61.65798868312758
2023-07-30 00:00:00+00:00,85.77679487179488
2023-08-06 00:00:00+00:00,69.74582142857142
2023-08-13 00:00:00+00:00,70.66130555555556
2023-08-20 00:00:00+00:00,62.77631792376318
2023-08-27 00:00:00+00:00,106.36491800535477
2023-09-03 00:00:00+00:00,111.41483207784054
2023-09-10 00:00:00+00:00,85.60460600907028
2023-09-17 00:00:00+00:00,79.99322476029329
2023-09-24 00:00:00+00:00,51.73320019723866
2023-10-01 00:00:00+00:00,59.52459984459984
2023-10-08 00:00:00+00:00,43.671827309236946
2023-10-15 00:00:00+00:00,51.644215488215494
2023-10-22 00:00:00+00:00,53.119866741741745
2023-10-29 00:00:00+00:00,59.362101740294506
2023-11-05 00:00:00+00:00,51.19289880952381
2023-11-12 00:00:00+00:00,49.02083648989899
2023-11-19 00:00:00+00:00,60.740318930041155
2023-11-26 00:00:00+00:00,66.35559027777778
2023-12-03 00:00:00+00:00,35.959641706924316
2023-12-10 00:00:00+00:00,69.77283875338753
2023-12-17 00:00:00+00:00,56.21094827586207
2023-12-24 00:00:00+00:00,65.62301724137932
2023-12-31 00:00:00+00:00,55.141875431331954
2024-01-07 00:00:00+00:00,51.479544707429326
2024-01-14 00:00:00+00:00,62.03484784147205
2024-01-21 00:00:00+00:00,64.95583721833722
2024-01-28 00:00:00+00:00,60.008854700854705
2024-02-04 00:00:00+00:00,45.82384492406076
2024-02-11 00:00:00+00:00,61.132743804956036
2024-02-18 00:00:00+00:00,52.83890695573623
2024-02-25 00:00:00+00:00,56.68005219985086
2024-03-03 00:00:00+00:00,49.73214052287582
