,payment reminder
2023-06-11 00:00:00+00:00,193.32497222222224
2023-06-18 00:00:00+00:00,153.25114197530863
2023-06-25 00:00:00+00:00,219.88916666666668
2023-07-02 00:00:00+00:00,182.44215277777778
2023-07-09 00:00:00+00:00,205.58016081871344
2023-07-16 00:00:00+00:00,251.34175925925925
2023-07-23 00:00:00+00:00,113.8978947368421
2023-07-30 00:00:00+00:00,273.4830185185185
2023-08-06 00:00:00+00:00,161.43653703703703
2023-08-13 00:00:00+00:00,258.88410714285715
2023-08-20 00:00:00+00:00,150.9201923076923
2023-08-27 00:00:00+00:00,238.6849603174603
2023-09-03 00:00:00+00:00,290.0851984126984
2023-09-10 00:00:00+00:00,259.7110416666667
2023-09-17 00:00:00+00:00,192.2740625
2023-09-24 00:00:00+00:00,202.0515740740741
2023-10-01 00:00:00+00:00,207.36920634920634
2023-10-08 00:00:00+00:00,154.2357638888889
2023-10-15 00:00:00+00:00,100.16560606060607
2023-10-22 00:00:00+00:00,154.24811507936508
2023-10-29 00:00:00+00:00,140.73779629629632
2023-11-05 00:00:00+00:00,171.9275925925926
2023-11-12 00:00:00+00:00,175.92384615384617
2023-11-19 00:00:00+00:00,203.0162121212121
2023-11-26 00:00:00+00:00,185.12308333333334
2023-12-03 00:00:00+00:00,171.67207264957264
2023-12-10 00:00:00+00:00,172.57029914529915
2023-12-17 00:00:00+00:00,66.4083950617284
2023-12-24 00:00:00+00:00,111.77131313131312
2023-12-31 00:00:00+00:00,171.17194444444445
2024-01-07 00:00:00+00:00,180.74132716049382
2024-01-14 00:00:00+00:00,151.27655555555557
2024-01-21 00:00:00+00:00,137.45095486111111
2024-01-28 00:00:00+00:00,150.3970202020202
2024-02-04 00:00:00+00:00,212.39646825396827
2024-02-11 00:00:00+00:00,130.34984126984128
2024-02-18 00:00:00+00:00,171.0365873015873
2024-02-25 00:00:00+00:00,199.48035353535352
2024-03-03 00:00:00+00:00,159.30613425925927
