,failed delivery
2023-06-11 00:00:00+00:00,26.629166666666666
2023-06-18 00:00:00+00:00,21.42538888888889
2023-06-25 00:00:00+00:00,16.90259259259259
2023-07-02 00:00:00+00:00,7.257268518518519
2023-07-09 00:00:00+00:00,34.33296296296296
2023-07-16 00:00:00+00:00,26.467152777777777
2023-07-23 00:00:00+00:00,34.58611111111111
2023-07-30 00:00:00+00:00,28.78793650793651
2023-08-06 00:00:00+00:00,60.41638888888889
2023-08-13 00:00:00+00:00,29.2749537037037
2023-08-20 00:00:00+00:00,33.45363888888888
2023-08-27 00:00:00+00:00,25.032182539682537
2023-09-03 00:00:00+00:00,16.35575396825397
2023-09-10 00:00:00+00:00,6.31175925925926
2023-09-17 00:00:00+00:00,4.06712962962963
2023-09-24 00:00:00+00:00,9.162314814814815
2023-10-01 00:00:00+00:00,18.83375
2023-10-08 00:00:00+00:00,11.22236111111111
2023-10-15 00:00:00+00:00,9.359191919191918
2023-10-22 00:00:00+00:00,8.50836111111111
2023-10-29 00:00:00+00:00,14.440515873015872
2023-11-05 00:00:00+00:00,10.32310185185185
2023-11-12 00:00:00+00:00,5.688611111111111
2023-11-19 00:00:00+00:00,20.532743055555557
2023-11-26 00:00:00+00:00,13.778214285714286
2023-12-03 00:00:00+00:00,31.285347222222224
2023-12-10 00:00:00+00:00,19.029555555555554
2023-12-17 00:00:00+00:00,22.803166666666666
2023-12-24 00:00:00+00:00,5.004166666666666
2023-12-31 00:00:00+00:00,10.665246913580246
2024-01-07 00:00:00+00:00,19.987430555555555
2024-01-14 00:00:00+00:00,35.98291666666667
2024-01-21 00:00:00+00:00,8.84388888888889
2024-01-28 00:00:00+00:00,15.430138888888889
2024-02-04 00:00:00+00:00,20.363333333333333
2024-02-11 00:00:00+00:00,23.1175
2024-02-18 00:00:00+00:00,13.92922839506173
2024-02-25 00:00:00+00:00,6.036458333333333
2024-03-03 00:00:00+00:00,2.379305555555556
