,packages_weight
2023-06-11 00:00:00+00:00,4.53068
2023-06-18 00:00:00+00:00,3.6495806451612904
2023-06-25 00:00:00+00:00,4.26383870967742
2023-07-02 00:00:00+00:00,4.4400344827586204
2023-07-09 00:00:00+00:00,4.2138965517241385
2023-07-16 00:00:00+00:00,4.194833333333333
2023-07-23 00:00:00+00:00,4.66421875
2023-07-30 00:00:00+00:00,4.221969696969697
2023-08-06 00:00:00+00:00,4.26856
2023-08-13 00:00:00+00:00,4.3671
2023-08-20 00:00:00+00:00,4.487533333333333
2023-08-27 00:00:00+00:00,4.154727272727272
2023-09-03 00:00:00+00:00,3.7222820512820514
2023-09-10 00:00:00+00:00,3.9184444444444444
2023-09-17 00:00:00+00:00,3.941394736842105
2023-09-24 00:00:00+00:00,4.495655172413793
2023-10-01 00:00:00+00:00,4.334678571428571
2023-10-08 00:00:00+00:00,4.87352
2023-10-15 00:00:00+00:00,4.228592592592593
2023-10-22 00:00:00+00:00,4.5992
2023-10-29 00:00:00+00:00,4.016407407407407
2023-11-05 00:00:00+00:00,3.8581481481481483
2023-11-12 00:00:00+00:00,4.239724137931034
2023-11-19 00:00:00+00:00,4.196586206896552
2023-11-26 00:00:00+00:00,3.970322580645161
2023-12-03 00:00:00+00:00,3.984384615384615
2023-12-10 00:00:00+00:00,3.834483870967742
2023-12-17 00:00:00+00:00,3.75076
2023-12-24 00:00:00+00:00,3.9511176470588234
2023-12-31 00:00:00+00:00,4.090777777777778
2024-01-07 00:00:00+00:00,4.76796551724138
2024-01-14 00:00:00+00:00,4.537965517241379
2024-01-21 00:00:00+00:00,3.9394814814814816
2024-01-28 00:00:00+00:00,3.579678571428571
2024-02-04 00:00:00+00:00,4.231269230769231
2024-02-11 00:00:00+00:00,4.573160000000001
2024-02-18 00:00:00+00:00,4.333875
2024-02-25 00:00:00+00:00,4.1372800000000005
2024-03-03 00:00:00+00:00,3.513214285714286
