,package delivered
2023-06-11 00:00:00+00:00,15.487958333333333
2023-06-18 00:00:00+00:00,19.869202898550725
2023-06-25 00:00:00+00:00,16.935715811965814
2023-07-02 00:00:00+00:00,11.65774154589372
2023-07-09 00:00:00+00:00,23.264166666666664
2023-07-16 00:00:00+00:00,25.76047619047619
2023-07-23 00:00:00+00:00,14.802101449275362
2023-07-30 00:00:00+00:00,20.438482142857143
2023-08-06 00:00:00+00:00,22.32951851851852
2023-08-13 00:00:00+00:00,38.36643055555555
2023-08-20 00:00:00+00:00,27.792083333333334
2023-08-27 00:00:00+00:00,21.268541666666668
2023-09-03 00:00:00+00:00,24.262569444444445
2023-09-10 00:00:00+00:00,13.466072796934865
2023-09-17 00:00:00+00:00,14.921675347222223
2023-09-24 00:00:00+00:00,14.039384057971013
2023-10-01 00:00:00+00:00,19.399698067632848
2023-10-08 00:00:00+00:00,13.633623188405796
2023-10-15 00:00:00+00:00,9.57580687830688
2023-10-22 00:00:00+00:00,15.018272946859902
2023-10-29 00:00:00+00:00,15.437949735449736
2023-11-05 00:00:00+00:00,16.633636363636363
2023-11-12 00:00:00+00:00,15.964106280193239
2023-11-19 00:00:00+00:00,21.41334656084656
2023-11-26 00:00:00+00:00,19.168402777777775
2023-12-03 00:00:00+00:00,7.941041666666666
2023-12-10 00:00:00+00:00,16.79585390946502
2023-12-17 00:00:00+00:00,15.559922839506173
2023-12-24 00:00:00+00:00,14.276484674329502
2023-12-31 00:00:00+00:00,18.28837121212121
2024-01-07 00:00:00+00:00,18.87619212962963
2024-01-14 00:00:00+00:00,16.719528985507246
2024-01-21 00:00:00+00:00,23.530423280423282
2024-01-28 00:00:00+00:00,19.259431818181817
2024-02-04 00:00:00+00:00,13.16161616161616
2024-02-11 00:00:00+00:00,17.056805555555556
2024-02-18 00:00:00+00:00,19.42609722222222
2024-02-25 00:00:00+00:00,12.911944444444446
2024-03-03 00:00:00+00:00,17.720618686868686
