,items_payment reminder
2023-06-11 00:00:00+00:00,1.4011299435028248
2023-06-18 00:00:00+00:00,1.4504504504504505
2023-06-25 00:00:00+00:00,1.4852320675105486
2023-07-02 00:00:00+00:00,1.502145922746781
2023-07-09 00:00:00+00:00,1.5036496350364963
2023-07-16 00:00:00+00:00,1.506896551724138
2023-07-23 00:00:00+00:00,1.4717607973421927
2023-07-30 00:00:00+00:00,1.4271523178807948
2023-08-06 00:00:00+00:00,1.358974358974359
2023-08-13 00:00:00+00:00,1.380952380952381
2023-08-20 00:00:00+00:00,1.5532994923857868
2023-08-27 00:00:00+00:00,1.614213197969543
2023-09-03 00:00:00+00:00,1.6494252873563218
2023-09-10 00:00:00+00:00,1.6171428571428572
2023-09-17 00:00:00+00:00,1.5957446808510638
2023-09-24 00:00:00+00:00,1.6114285714285714
2023-10-01 00:00:00+00:00,1.5573770491803278
2023-10-08 00:00:00+00:00,1.4634146341463414
2023-10-15 00:00:00+00:00,1.5566037735849056
2023-10-22 00:00:00+00:00,1.5776699029126213
2023-10-29 00:00:00+00:00,1.5622119815668203
2023-11-05 00:00:00+00:00,1.5339805825242718
2023-11-12 00:00:00+00:00,1.50253807106599
2023-11-19 00:00:00+00:00,1.4473684210526316
2023-11-26 00:00:00+00:00,1.4950980392156863
2023-12-03 00:00:00+00:00,1.495
2023-12-10 00:00:00+00:00,1.5410958904109588
2023-12-17 00:00:00+00:00,1.5436241610738255
2023-12-24 00:00:00+00:00,1.547945205479452
2023-12-31 00:00:00+00:00,1.4276729559748427
2024-01-07 00:00:00+00:00,1.3711340206185567
2024-01-14 00:00:00+00:00,1.3675675675675676
2024-01-21 00:00:00+00:00,1.319526627218935
2024-01-28 00:00:00+00:00,1.3270440251572326
2024-02-04 00:00:00+00:00,1.411764705882353
2024-02-11 00:00:00+00:00,1.403973509933775
2024-02-18 00:00:00+00:00,1.391025641025641
2024-02-25 00:00:00+00:00,1.3742331288343559
2024-03-03 00:00:00+00:00,1.3743589743589744
