,orders_payment reminder
2023-06-11 00:00:00+00:00,1.346938775510204
2023-06-18 00:00:00+00:00,1.368421052631579
2023-06-25 00:00:00+00:00,1.3898305084745763
2023-07-02 00:00:00+00:00,1.396551724137931
2023-07-09 00:00:00+00:00,1.4307692307692308
2023-07-16 00:00:00+00:00,1.4615384615384615
2023-07-23 00:00:00+00:00,1.4142857142857144
2023-07-30 00:00:00+00:00,1.3714285714285714
2023-08-06 00:00:00+00:00,1.3333333333333333
2023-08-13 00:00:00+00:00,1.3508771929824561
2023-08-20 00:00:00+00:00,1.490566037735849
2023-08-27 00:00:00+00:00,1.5384615384615385
2023-09-03 00:00:00+00:00,1.5869565217391304
2023-09-10 00:00:00+00:00,1.5777777777777777
2023-09-17 00:00:00+00:00,1.5869565217391304
2023-09-24 00:00:00+00:00,1.5909090909090908
2023-10-01 00:00:00+00:00,1.5319148936170213
2023-10-08 00:00:00+00:00,1.4807692307692308
2023-10-15 00:00:00+00:00,1.537037037037037
2023-10-22 00:00:00+00:00,1.5576923076923077
2023-10-29 00:00:00+00:00,1.5660377358490567
2023-11-05 00:00:00+00:00,1.574468085106383
2023-11-12 00:00:00+00:00,1.5416666666666667
2023-11-19 00:00:00+00:00,1.4727272727272727
2023-11-26 00:00:00+00:00,1.5
2023-12-03 00:00:00+00:00,1.469387755102041
2023-12-10 00:00:00+00:00,1.5238095238095237
2023-12-17 00:00:00+00:00,1.5116279069767442
2023-12-24 00:00:00+00:00,1.511111111111111
2023-12-31 00:00:00+00:00,1.4166666666666667
2024-01-07 00:00:00+00:00,1.3818181818181818
2024-01-14 00:00:00+00:00,1.4038461538461537
2024-01-21 00:00:00+00:00,1.3829787234042554
2024-01-28 00:00:00+00:00,1.4
2024-02-04 00:00:00+00:00,1.4615384615384615
2024-02-11 00:00:00+00:00,1.4222222222222223
2024-02-18 00:00:00+00:00,1.3958333333333333
2024-02-25 00:00:00+00:00,1.38
2024-03-03 00:00:00+00:00,1.3518518518518519
