,place order_products
2023-06-11 00:00:00+00:00,3.441860465116279
2023-06-18 00:00:00+00:00,3.3658536585365852
2023-06-25 00:00:00+00:00,4.2
2023-07-02 00:00:00+00:00,3.4878048780487805
2023-07-09 00:00:00+00:00,3.5
2023-07-16 00:00:00+00:00,3.8
2023-07-23 00:00:00+00:00,3.7857142857142856
2023-07-30 00:00:00+00:00,3.2
2023-08-06 00:00:00+00:00,3.5609756097560976
2023-08-13 00:00:00+00:00,3.731707317073171
2023-08-20 00:00:00+00:00,3.6744186046511627
2023-08-27 00:00:00+00:00,3.1904761904761907
2023-09-03 00:00:00+00:00,3.5853658536585367
2023-09-10 00:00:00+00:00,3.682926829268293
2023-09-17 00:00:00+00:00,3.7209302325581395
2023-09-24 00:00:00+00:00,3.425
2023-10-01 00:00:00+00:00,3.2195121951219514
2023-10-08 00:00:00+00:00,3.9761904761904763
2023-10-15 00:00:00+00:00,3.4146341463414633
2023-10-22 00:00:00+00:00,3.4146341463414633
2023-10-29 00:00:00+00:00,3.8292682926829267
2023-11-05 00:00:00+00:00,3.5609756097560976
2023-11-12 00:00:00+00:00,3.65
2023-11-19 00:00:00+00:00,3.5609756097560976
2023-11-26 00:00:00+00:00,3.048780487804878
2023-12-03 00:00:00+00:00,3.5853658536585367
2023-12-10 00:00:00+00:00,3.357142857142857
2023-12-17 00:00:00+00:00,3.6097560975609757
2023-12-24 00:00:00+00:00,3.4761904761904763
2023-12-31 00:00:00+00:00,3.707317073170732
2024-01-07 00:00:00+00:00,3.6341463414634148
2024-01-14 00:00:00+00:00,3.0
2024-01-21 00:00:00+00:00,3.05
2024-01-28 00:00:00+00:00,2.8292682926829267
2024-02-04 00:00:00+00:00,3.1666666666666665
2024-02-11 00:00:00+00:00,3.024390243902439
2024-02-18 00:00:00+00:00,3.048780487804878
2024-02-25 00:00:00+00:00,3.1219512195121952
2024-03-03 00:00:00+00:00,3.268292682926829
