,reorder item
2023-06-11 00:00:00+00:00,45.397638888888885
2023-06-18 00:00:00+00:00,47.27553872053872
2023-06-25 00:00:00+00:00,35.16574324324324
2023-07-02 00:00:00+00:00,43.322483660130715
2023-07-09 00:00:00+00:00,46.19392361111111
2023-07-16 00:00:00+00:00,45.04310185185185
2023-07-23 00:00:00+00:00,31.170723905723904
2023-07-30 00:00:00+00:00,50.42424074074074
2023-08-06 00:00:00+00:00,50.979733333333336
2023-08-13 00:00:00+00:00,76.69123148148148
2023-08-20 00:00:00+00:00,69.47868055555556
2023-08-27 00:00:00+00:00,64.93833333333333
2023-09-03 00:00:00+00:00,75.64250816993464
2023-09-10 00:00:00+00:00,34.0468265993266
2023-09-17 00:00:00+00:00,34.00727777777778
2023-09-24 00:00:00+00:00,41.71693548387096
2023-10-01 00:00:00+00:00,40.32600574712644
2023-10-08 00:00:00+00:00,31.711768518518518
2023-10-15 00:00:00+00:00,48.60541187739464
2023-10-22 00:00:00+00:00,37.049547619047615
2023-10-29 00:00:00+00:00,39.225658730158734
2023-11-05 00:00:00+00:00,33.19499103942652
2023-11-12 00:00:00+00:00,42.30707671957672
2023-11-19 00:00:00+00:00,42.05469135802469
2023-11-26 00:00:00+00:00,48.559623015873015
2023-12-03 00:00:00+00:00,50.3416452991453
2023-12-10 00:00:00+00:00,37.44996693121693
2023-12-17 00:00:00+00:00,37.670657407407404
2023-12-24 00:00:00+00:00,39.54745791245791
2023-12-31 00:00:00+00:00,24.9865990990991
2024-01-07 00:00:00+00:00,28.483998708010336
2024-01-14 00:00:00+00:00,44.601217948717945
2024-01-21 00:00:00+00:00,29.588867521367522
2024-01-28 00:00:00+00:00,32.381720085470086
2024-02-04 00:00:00+00:00,55.6955376344086
2024-02-11 00:00:00+00:00,46.92251461988304
2024-02-18 00:00:00+00:00,50.79036706349206
2024-02-25 00:00:00+00:00,36.30644965277778
2024-03-03 00:00:00+00:00,40.381
