,items_weight
2023-06-11 00:00:00+00:00,0.5905870967741935
2023-06-18 00:00:00+00:00,0.5923737166324435
2023-06-25 00:00:00+00:00,0.5962011494252873
2023-07-02 00:00:00+00:00,0.6174505494505494
2023-07-09 00:00:00+00:00,0.6086493955094991
2023-07-16 00:00:00+00:00,0.6046511627906976
2023-07-23 00:00:00+00:00,0.6124585889570552
2023-07-30 00:00:00+00:00,0.602409984871407
2023-08-06 00:00:00+00:00,0.621742951907131
2023-08-13 00:00:00+00:00,0.6342323717948718
2023-08-20 00:00:00+00:00,0.6324937888198758
2023-08-27 00:00:00+00:00,0.6264897314375987
2023-09-03 00:00:00+00:00,0.6082692307692308
2023-09-10 00:00:00+00:00,0.6186895973154362
2023-09-17 00:00:00+00:00,0.613572504708098
2023-09-24 00:00:00+00:00,0.6274748490945674
2023-10-01 00:00:00+00:00,0.6300252631578948
2023-10-08 00:00:00+00:00,0.618621301775148
2023-10-15 00:00:00+00:00,0.6145230125523012
2023-10-22 00:00:00+00:00,0.6124665314401623
2023-10-29 00:00:00+00:00,0.5950135658914728
2023-11-05 00:00:00+00:00,0.6087509881422926
2023-11-12 00:00:00+00:00,0.632748502994012
2023-11-19 00:00:00+00:00,0.5939903100775195
2023-11-26 00:00:00+00:00,0.6138271119842829
2023-12-03 00:00:00+00:00,0.6123228962818004
2023-12-10 00:00:00+00:00,0.6042212765957446
2023-12-17 00:00:00+00:00,0.5947380457380458
2023-12-24 00:00:00+00:00,0.6149279661016949
2023-12-31 00:00:00+00:00,0.6290914760914761
2024-01-07 00:00:00+00:00,0.6367252964426877
2024-01-14 00:00:00+00:00,0.6417525562372188
2024-01-21 00:00:00+00:00,0.6310197368421053
2024-01-28 00:00:00+00:00,0.626963144963145
2024-02-04 00:00:00+00:00,0.6195954773869347
2024-02-11 00:00:00+00:00,0.6293493670886076
2024-02-18 00:00:00+00:00,0.6139710843373494
2024-02-25 00:00:00+00:00,0.5772789115646259
2024-03-03 00:00:00+00:00,0.5796556291390729
