,item out of stock
2023-06-11 00:00:00+00:00,0.30057142857142854
2023-06-18 00:00:00+00:00,0.07949652777777778
2023-06-25 00:00:00+00:00,0.4188124999999999
2023-07-02 00:00:00+00:00,3.8151697530864204
2023-07-09 00:00:00+00:00,0.9857168458781362
2023-07-16 00:00:00+00:00,0.0
2023-07-23 00:00:00+00:00,1.031268768768769
2023-07-30 00:00:00+00:00,1.9886210317460318
2023-08-06 00:00:00+00:00,0.14578282828282826
2023-08-13 00:00:00+00:00,0.18555555555555553
2023-08-20 00:00:00+00:00,2.5509291187739462
2023-08-27 00:00:00+00:00,0.7080626780626781
2023-09-03 00:00:00+00:00,0.023581349206349207
2023-09-10 00:00:00+00:00,0.03640681003584229
2023-09-17 00:00:00+00:00,1.61578125
2023-09-24 00:00:00+00:00,0.15473765432098766
2023-10-01 00:00:00+00:00,0.0888111111111111
2023-10-08 00:00:00+00:00,0.20353535353535354
2023-10-15 00:00:00+00:00,2.7826574074074073
2023-10-22 00:00:00+00:00,0.07454545454545454
2023-10-29 00:00:00+00:00,0.52453125
2023-11-05 00:00:00+00:00,1.3242847222222225
2023-11-12 00:00:00+00:00,0.26689327485380115
2023-11-19 00:00:00+00:00,0.45138888888888884
2023-11-26 00:00:00+00:00,1.109059139784946
2023-12-03 00:00:00+00:00,2.234322222222222
2023-12-10 00:00:00+00:00,0.46164021164021163
2023-12-17 00:00:00+00:00,1.204351851851852
2023-12-24 00:00:00+00:00,0.35961685823754785
2023-12-31 00:00:00+00:00,0.18288359788359787
2024-01-07 00:00:00+00:00,0.9078902116402118
2024-01-14 00:00:00+00:00,0.1411489898989899
2024-01-21 00:00:00+00:00,0.24978395061728395
2024-01-28 00:00:00+00:00,2.1035069444444443
2024-02-04 00:00:00+00:00,0.3173611111111111
2024-02-11 00:00:00+00:00,0.1392361111111111
2024-02-18 00:00:00+00:00,1.1695619658119658
2024-02-25 00:00:00+00:00,0.7284674329501916
2024-03-03 00:00:00+00:00,0.0897542735042735
