,pay order
2023-06-11 00:00:00+00:00,0.5084567901234568
2023-06-18 00:00:00+00:00,0.7857857142857143
2023-06-25 00:00:00+00:00,1.2351597222222224
2023-07-02 00:00:00+00:00,1.4538596491228069
2023-07-09 00:00:00+00:00,0.7697132616487455
2023-07-16 00:00:00+00:00,0.8799603174603174
2023-07-23 00:00:00+00:00,0.4295945945945946
2023-07-30 00:00:00+00:00,0.3932581018518519
2023-08-06 00:00:00+00:00,0.998003003003003
2023-08-13 00:00:00+00:00,0.9445965608465609
2023-08-20 00:00:00+00:00,0.6126923076923078
2023-08-27 00:00:00+00:00,0.41630050505050503
2023-09-03 00:00:00+00:00,0.8385925925925926
2023-09-10 00:00:00+00:00,0.678256843800322
2023-09-17 00:00:00+00:00,1.1974254742547426
2023-09-24 00:00:00+00:00,0.4336111111111111
2023-10-01 00:00:00+00:00,0.6565384615384615
2023-10-08 00:00:00+00:00,0.7487891737891739
2023-10-15 00:00:00+00:00,0.3158487654320987
2023-10-22 00:00:00+00:00,0.5821031746031746
2023-10-29 00:00:00+00:00,1.1266234567901234
2023-11-05 00:00:00+00:00,0.41251322751322755
2023-11-12 00:00:00+00:00,0.6834788359788361
2023-11-19 00:00:00+00:00,1.033397435897436
2023-11-26 00:00:00+00:00,0.7857859078590786
2023-12-03 00:00:00+00:00,1.0356777777777777
2023-12-10 00:00:00+00:00,1.2519341563786008
2023-12-17 00:00:00+00:00,1.080014367816092
2023-12-24 00:00:00+00:00,1.2211700336700337
2023-12-31 00:00:00+00:00,0.5447733918128655
2024-01-07 00:00:00+00:00,1.9313247863247862
2024-01-14 00:00:00+00:00,1.3848765432098764
2024-01-21 00:00:00+00:00,1.2648032407407408
2024-01-28 00:00:00+00:00,1.1114078282828284
2024-02-04 00:00:00+00:00,1.0705116959064327
2024-02-11 00:00:00+00:00,1.1734876543209876
2024-02-18 00:00:00+00:00,1.5518981481481482
2024-02-25 00:00:00+00:00,1.736335978835979
2024-03-03 00:00:00+00:00,1.0636304909560723
